"specimen_number","longitude","latitude","elev_prism_m","clim_year","clim_month","ppt_mm","tmin","tave","tmax","clim_date"
"UC1736551",-120.7333,36.5003,706,1955,1,101.83,-0.2,5,10.2,195501
"UC1736551",-120.7333,36.5003,706,1955,2,38.96,1.3,7.4,13.6,195502
"UC1736551",-120.7333,36.5003,706,1955,3,7.74,3.3,10.3,17.3,195503
"UC1736551",-120.7333,36.5003,706,1955,4,34.06,3,10.5,18,195504
"UC1736551",-120.7333,36.5003,706,1955,5,23.36,8.7,16.8,24.8,195505
"UC1736551",-120.7333,36.5003,706,1955,6,0,11.6,20.6,29.7,195506
"UC1736551",-120.7333,36.5003,706,1955,7,0,14,23.2,32.5,195507
"UC1736551",-120.7333,36.5003,706,1955,8,0,17.3,26.5,35.7,195508
"UC1736551",-120.7333,36.5003,706,1955,9,0,13.9,22.8,31.7,195509
"UC1736551",-120.7333,36.5003,706,1955,10,0,9.7,17.7,25.7,195510
"UC1736551",-120.7333,36.5003,706,1955,11,25.49,3.3,10.2,17.2,195511
"UC1736551",-120.7333,36.5003,706,1955,12,196,3,8.1,13.3,195512
"UC1736551",-120.7333,36.5003,706,1956,1,90.54,2.4,7.7,13.1,195601
"UC1736551",-120.7333,36.5003,706,1956,2,20.93,-0.6,5.7,12.1,195602
"UC1736551",-120.7333,36.5003,706,1956,3,0.28,2.5,10.1,17.7,195603
"UC1736551",-120.7333,36.5003,706,1956,4,32.41,4.5,12,19.5,195604
"UC1736551",-120.7333,36.5003,706,1956,5,19.61,7.9,16.5,25,195605
"UC1736551",-120.7333,36.5003,706,1956,6,0,11.6,21.5,31.4,195606
"UC1736551",-120.7333,36.5003,706,1956,7,0,15.5,24.9,34.3,195607
"UC1736551",-120.7333,36.5003,706,1956,8,0,13.5,22.8,32.1,195608
"UC1736551",-120.7333,36.5003,706,1956,9,2.73,12.7,21.9,31.1,195609
"UC1736551",-120.7333,36.5003,706,1956,10,16.32,6.2,14.1,22,195610
"UC1736551",-120.7333,36.5003,706,1956,11,0,4.5,12.6,20.8,195611
"UC1736551",-120.7333,36.5003,706,1956,12,5.06,1.7,9.4,17.1,195612
"UC1736551",-120.7333,36.5003,706,1957,1,74.91,-1.6,4.5,10.5,195701
"UC1736551",-120.7333,36.5003,706,1957,2,53.45,3.4,9.2,14.9,195702
"UC1736551",-120.7333,36.5003,706,1957,3,26.55,2.8,9.7,16.5,195703
"UC1736551",-120.7333,36.5003,706,1957,4,38.63,4.8,12.8,20.7,195704
"UC1736551",-120.7333,36.5003,706,1957,5,29.99,6.6,14.7,22.8,195705
"UC1736551",-120.7333,36.5003,706,1957,6,5.22,13.5,23,32.5,195706
"UC1736551",-120.7333,36.5003,706,1957,7,0,14.4,24.4,34.5,195707
"UC1736551",-120.7333,36.5003,706,1957,8,0,12.5,22.7,33,195708
"UC1736551",-120.7333,36.5003,706,1957,9,0.9,11.7,20.8,30,195709
"UC1736551",-120.7333,36.5003,706,1957,10,28.23,9.3,15.3,21.3,195710
"UC1736551",-120.7333,36.5003,706,1957,11,12.16,1.3,8.7,16,195711
"UC1736551",-120.7333,36.5003,706,1957,12,61.1,1.1,8.3,15.6,195712
"UC1736551",-120.7333,36.5003,706,1958,1,69.23,0.6,7.6,14.5,195801
"UC1736551",-120.7333,36.5003,706,1958,2,145.61,3.1,9.4,15.6,195802
"UC1736551",-120.7333,36.5003,706,1958,3,151.98,1,6.9,12.7,195803
"UC1736551",-120.7333,36.5003,706,1958,4,102.43,5,12.3,19.6,195804
"UC1736551",-120.7333,36.5003,706,1958,5,14.98,10.1,18.5,26.9,195805
"UC1736551",-120.7333,36.5003,706,1958,6,1.33,11.2,19.9,28.7,195806
"UC1736551",-120.7333,36.5003,706,1958,7,0,15.8,24.8,33.9,195807
"UC1736551",-120.7333,36.5003,706,1958,8,0,19.6,27.9,36.2,195808
"UC1736551",-120.7333,36.5003,706,1958,9,15.84,14.4,22.8,31.2,195809
"UC1736551",-120.7333,36.5003,706,1958,10,0,12.4,20.2,28,195810
"UC1736551",-120.7333,36.5003,706,1958,11,7.48,6.1,12.7,19.3,195811
"UC1736551",-120.7333,36.5003,706,1958,12,6.08,1.9,10.5,19.2,195812
"UC1736551",-120.7333,36.5003,706,1959,1,67.69,4.5,9.8,15.1,195901
"UC1736551",-120.7333,36.5003,706,1959,2,132.45,2.4,7.7,13,195902
"UC1736551",-120.7333,36.5003,706,1959,3,4.04,5.8,12.9,19.9,195903
"UC1736551",-120.7333,36.5003,706,1959,4,10.89,5.4,15.3,25.1,195904
"UC1736551",-120.7333,36.5003,706,1959,5,0.91,8.1,16.6,25.1,195905
"UC1736551",-120.7333,36.5003,706,1959,6,0,14.7,23.7,32.7,195906
"UC1736551",-120.7333,36.5003,706,1959,7,0,19.4,28.3,37.2,195907
"UC1736551",-120.7333,36.5003,706,1959,8,0,16.3,25.1,33.8,195908
"UC1736551",-120.7333,36.5003,706,1959,9,26.24,13.3,21.1,28.9,195909
"UC1736551",-120.7333,36.5003,706,1959,10,0,11.2,18.8,26.4,195910
"UC1736551",-120.7333,36.5003,706,1959,11,0,1.8,11.8,21.9,195911
"UC1736551",-120.7333,36.5003,706,1959,12,8.67,3.1,10,16.9,195912
"UC1736551",-120.7333,36.5003,706,1960,1,61.04,1.1,6.5,11.8,196001
"UC1736551",-120.7333,36.5003,706,1960,2,85.86,2.5,8,13.5,196002
"UC1736551",-120.7333,36.5003,706,1960,3,20.42,5.7,12.3,18.9,196003
"UC1736551",-120.7333,36.5003,706,1960,4,27.8,5.4,13.1,20.9,196004
"UC1736551",-120.7333,36.5003,706,1960,5,1.45,8.5,16.9,25.3,196005
"UC1736551",-120.7333,36.5003,706,1960,6,0,16.7,25.8,34.9,196006
"UC1736551",-120.7333,36.5003,706,1960,7,0,18.9,27.8,36.7,196007
"UC1736551",-120.7333,36.5003,706,1960,8,0,14.5,24.5,34.5,196008
"UC1736551",-120.7333,36.5003,706,1960,9,0.34,14.8,23.6,32.5,196009
"UC1736551",-120.7333,36.5003,706,1960,10,3.02,8.7,16.3,24,196010
"UC1736551",-120.7333,36.5003,706,1960,11,69.9,3.6,9.6,15.5,196011
"UC1736551",-120.7333,36.5003,706,1960,12,22.15,1.8,7.9,13.9,196012
"UC1736551",-120.7333,36.5003,706,1961,1,47.81,-0.2,7.9,16,196101
"UC1736551",-120.7333,36.5003,706,1961,2,15.96,3.6,9.8,16,196102
"UC1736551",-120.7333,36.5003,706,1961,3,37.34,3,9.5,16,196103
"UC1736551",-120.7333,36.5003,706,1961,4,11.49,6.3,14.4,22.5,196104
"UC1736551",-120.7333,36.5003,706,1961,5,11.13,7,15.2,23.5,196105
"UC1736551",-120.7333,36.5003,706,1961,6,4.78,15.6,24.7,33.8,196106
"UC1736551",-120.7333,36.5003,706,1961,7,0,18.4,27.6,36.8,196107
"UC1736551",-120.7333,36.5003,706,1961,8,0,18,26.1,34.3,196108
"UC1736551",-120.7333,36.5003,706,1961,9,0,12.5,21.2,29.9,196109
"UC1736551",-120.7333,36.5003,706,1961,10,0,9.5,17.3,25.1,196110
"UC1736551",-120.7333,36.5003,706,1961,11,62.2,3.6,10.5,17.3,196111
"UC1736551",-120.7333,36.5003,706,1961,12,47,1.5,7.2,12.8,196112
"UC1736551",-120.7333,36.5003,706,1962,1,41.32,1.2,7.6,14,196201
"UC1736551",-120.7333,36.5003,706,1962,2,184.06,2.6,7.4,12.2,196202
"UC1736551",-120.7333,36.5003,706,1962,3,39.7,1.4,7.6,13.9,196203
"UC1736551",-120.7333,36.5003,706,1962,4,0.61,7.4,16,24.6,196204
"UC1736551",-120.7333,36.5003,706,1962,5,1.3,6.2,14.8,23.3,196205
"UC1736551",-120.7333,36.5003,706,1962,6,0,12.8,22.1,31.4,196206
"UC1736551",-120.7333,36.5003,706,1962,7,0,15.9,25.3,34.7,196207
"UC1736551",-120.7333,36.5003,706,1962,8,0,15.4,24.6,33.8,196208
"UC1736551",-120.7333,36.5003,706,1962,9,0,13,22.3,31.6,196209
"UC1736551",-120.7333,36.5003,706,1962,10,11.9,8.7,16.4,24.1,196210
"UC1736551",-120.7333,36.5003,706,1962,11,1.96,5.3,12.4,19.4,196211
"UC1736551",-120.7333,36.5003,706,1962,12,48.2,3.5,10.2,16.9,196212
"UC1736551",-120.7333,36.5003,706,1963,1,50.94,-0.1,6.4,13,196301
"UC1736551",-120.7333,36.5003,706,1963,2,90.7,5.5,12.3,19.1,196302
"UC1736551",-120.7333,36.5003,706,1963,3,64.88,1,8.4,15.8,196303
"UC1736551",-120.7333,36.5003,706,1963,4,60.57,2.1,9.2,16.3,196304
"UC1736551",-120.7333,36.5003,706,1963,5,9.36,7.4,15.9,24.4,196305
"UC1736551",-120.7333,36.5003,706,1963,6,6.26,9.8,19.3,28.9,196306
"UC1736551",-120.7333,36.5003,706,1963,7,0,13.9,23.5,33,196307
"UC1736551",-120.7333,36.5003,706,1963,8,0,15.1,23.9,32.8,196308
"UC1736551",-120.7333,36.5003,706,1963,9,4.46,12.8,21.9,31.1,196309
"UC1736551",-120.7333,36.5003,706,1963,10,27.96,8.2,15.8,23.4,196310
"UC1736551",-120.7333,36.5003,706,1963,11,61.59,3.2,9.7,16.2,196311
"UC1736551",-120.7333,36.5003,706,1963,12,3.68,3,7.2,11.4,196312
"UC1736551",-120.7333,36.5003,706,1964,1,46.19,-0.4,6.3,12.9,196401
"UC1736551",-120.7333,36.5003,706,1964,2,1.52,2.4,9,15.6,196402
"UC1736551",-120.7333,36.5003,706,1964,3,36.14,3.5,9.8,16.2,196403
"UC1736551",-120.7333,36.5003,706,1964,4,11.23,5.9,13.5,21,196404
"UC1736551",-120.7333,36.5003,706,1964,5,5.84,7.9,15.7,23.6,196405
"UC1736551",-120.7333,36.5003,706,1964,6,3.08,12.2,20.6,29,196406
"UC1736551",-120.7333,36.5003,706,1964,7,0,16.9,25.7,34.5,196407
"UC1736551",-120.7333,36.5003,706,1964,8,0,16.8,25.4,34,196408
"UC1736551",-120.7333,36.5003,706,1964,9,3.46,12.4,21.2,30.1,196409
"UC1736551",-120.7333,36.5003,706,1964,10,32.77,12.1,19.7,27.2,196410
"UC1736551",-120.7333,36.5003,706,1964,11,49.89,4.2,9.4,14.7,196411
"UC1736551",-120.7333,36.5003,706,1964,12,75.2,4.3,8.8,13.3,196412
"UC1736551",-120.7333,36.5003,706,1965,1,43.95,2.9,8.2,13.5,196501
"UC1736551",-120.7333,36.5003,706,1965,2,12.81,4.1,10.4,16.7,196502
"UC1736551",-120.7333,36.5003,706,1965,3,39.6,4.2,10.2,16.3,196503
"UC1736551",-120.7333,36.5003,706,1965,4,62.62,6.9,12.6,18.3,196504
"UC1736551",-120.7333,36.5003,706,1965,5,0,9.6,17.6,25.7,196505
"UC1736551",-120.7333,36.5003,706,1965,6,0,11.2,19.9,28.6,196506
"UC1736551",-120.7333,36.5003,706,1965,7,1.16,15.9,24.7,33.6,196507
"UC1736551",-120.7333,36.5003,706,1965,8,2.55,16.6,25,33.4,196508
"UC1736551",-120.7333,36.5003,706,1965,9,0,11.4,19.7,28.1,196509
"UC1736551",-120.7333,36.5003,706,1965,10,0,11.3,19.6,27.9,196510
"UC1736551",-120.7333,36.5003,706,1965,11,144.59,6,11.2,16.4,196511
"UC1736551",-120.7333,36.5003,706,1965,12,66.37,2,7.2,12.3,196512
"SD241782",-120.6667,36.5839,331,1966,1,14.42,-0.2,6.9,13.9,196601
"SD241782",-120.6667,36.5839,331,1966,2,22.13,1,7.8,14.5,196602
"SD241782",-120.6667,36.5839,331,1966,3,2.99,4,12.1,20.2,196603
"SD241782",-120.6667,36.5839,331,1966,4,3.33,6.6,16.6,26.7,196604
"SD241782",-120.6667,36.5839,331,1966,5,4.14,9.9,19.7,29.5,196605
"SD241782",-120.6667,36.5839,331,1966,6,0.11,11.8,22.1,32.5,196606
"SD241782",-120.6667,36.5839,331,1966,7,5.14,12,23.2,34.5,196607
"SD241782",-120.6667,36.5839,331,1966,8,0,14.7,25.7,36.7,196608
"SD241782",-120.6667,36.5839,331,1966,9,2.26,11.7,21.4,31.2,196609
"SD241782",-120.6667,36.5839,331,1966,10,0,8.9,17.9,27,196610
"SD241782",-120.6667,36.5839,331,1966,11,33.01,6,12.3,18.6,196611
"SD241782",-120.6667,36.5839,331,1966,12,80.97,3,7.9,12.8,196612
"SD241782",-120.6667,36.5839,331,1967,1,49.14,0.9,7.6,14.4,196701
"SD241782",-120.6667,36.5839,331,1967,2,10.57,2.3,9,15.8,196702
"SD241782",-120.6667,36.5839,331,1967,3,43.78,3.7,10.6,17.4,196703
"SD241782",-120.6667,36.5839,331,1967,4,87.21,3.1,9.2,15.2,196704
"SD241782",-120.6667,36.5839,331,1967,5,2.51,8.6,18.2,27.7,196705
"SD241782",-120.6667,36.5839,331,1967,6,2.88,11.1,20.8,30.5,196706
"SD241782",-120.6667,36.5839,331,1967,7,0,15.5,26.7,37.9,196707
"SD241782",-120.6667,36.5839,331,1967,8,0,16.5,27.3,38.1,196708
"SD241782",-120.6667,36.5839,331,1967,9,2.91,14.5,24,33.5,196709
"SD241782",-120.6667,36.5839,331,1967,10,2.03,9.9,18.8,27.8,196710
"SD241782",-120.6667,36.5839,331,1967,11,31.97,7.1,14,20.8,196711
"SD241782",-120.6667,36.5839,331,1967,12,31.64,-0.4,6.4,13.2,196712
"SD241782",-120.6667,36.5839,331,1968,1,13.7,-0.3,6.8,13.8,196801
"SD241782",-120.6667,36.5839,331,1968,2,36.46,6.6,12.1,17.5,196802
"SD241782",-120.6667,36.5839,331,1968,3,35.47,4.5,12.2,20,196803
"SD241782",-120.6667,36.5839,331,1968,4,13.99,5.8,14.9,24,196804
"SD241782",-120.6667,36.5839,331,1968,5,0.43,8.1,17.8,27.5,196805
"SD241782",-120.6667,36.5839,331,1968,6,0,12.8,23.5,34.2,196806
"SD241782",-120.6667,36.5839,331,1968,7,0,16.2,26.3,36.5,196807
"SD241782",-120.6667,36.5839,331,1968,8,0.17,13.7,23.1,32.6,196808
"SD241782",-120.6667,36.5839,331,1968,9,0,11.8,22.1,32.5,196809
"SD241782",-120.6667,36.5839,331,1968,10,25.9,9,17.1,25.2,196810
"SD241782",-120.6667,36.5839,331,1968,11,44.96,6,11.4,16.9,196811
"SD241782",-120.6667,36.5839,331,1968,12,54.64,0.6,6.6,12.5,196812
"SD241782",-120.6667,36.5839,331,1969,1,116.89,2.5,7.4,12.2,196901
"SD241782",-120.6667,36.5839,331,1969,2,151.41,2.5,7.5,12.4,196902
"SD241782",-120.6667,36.5839,331,1969,3,23.39,3.1,10.3,17.5,196903
"SD241782",-120.6667,36.5839,331,1969,4,28.96,6,13.8,21.7,196904
"SD241782",-120.6667,36.5839,331,1969,5,0,10,19.3,28.6,196905
"SD241782",-120.6667,36.5839,331,1969,6,0,12.7,21.1,29.5,196906
"SD241782",-120.6667,36.5839,331,1969,7,0,15.5,25.7,35.9,196907
"SD241782",-120.6667,36.5839,331,1969,8,0,15.1,25.6,36.2,196908
"SD241782",-120.6667,36.5839,331,1969,9,13.46,14,23.5,33,196909
"SD241782",-120.6667,36.5839,331,1969,10,13.22,7.7,15.6,23.4,196910
"SD241782",-120.6667,36.5839,331,1969,11,18.65,3.7,12,20.2,196911
"SD241782",-120.6667,36.5839,331,1969,12,24.67,1.9,8.9,15.9,196912
"SD241782",-120.6667,36.5839,331,1970,1,64.29,3.6,9.5,15.4,197001
"SD241782",-120.6667,36.5839,331,1970,2,25.87,3.6,10.5,17.5,197002
"SD241782",-120.6667,36.5839,331,1970,3,44.74,4.5,11.9,19.3,197003
"SD241782",-120.6667,36.5839,331,1970,4,4.35,3.8,12.3,20.7,197004
"SD241782",-120.6667,36.5839,331,1970,5,0,9.7,19.5,29.2,197005
"SD241782",-120.6667,36.5839,331,1970,6,0.39,13.6,22.9,32.3,197006
"SD241782",-120.6667,36.5839,331,1970,7,0,16.1,26.5,36.8,197007
"SD241782",-120.6667,36.5839,331,1970,8,0,14.9,25.1,35.2,197008
"SD241782",-120.6667,36.5839,331,1970,9,0,12,22.2,32.5,197009
"SD241782",-120.6667,36.5839,331,1970,10,5.31,8.3,17,25.6,197010
"SD241782",-120.6667,36.5839,331,1970,11,77.23,5.7,12.6,19.4,197011
"SD241782",-120.6667,36.5839,331,1970,12,65.95,2.5,7.5,12.6,197012
"SD241782",-120.6667,36.5839,331,1971,1,8.07,0.8,7.2,13.7,197101
"SD241782",-120.6667,36.5839,331,1971,2,8.04,1.3,8.1,14.9,197102
"SD241782",-120.6667,36.5839,331,1971,3,18.81,3.1,10.8,18.6,197103
"SD241782",-120.6667,36.5839,331,1971,4,23.5,5,13.1,21.2,197104
"SD241782",-120.6667,36.5839,331,1971,5,20.52,8.7,16.5,24.3,197105
"SD241782",-120.6667,36.5839,331,1971,6,0,11.9,21.7,31.5,197106
"SD241782",-120.6667,36.5839,331,1971,7,0,15.5,25.8,36.2,197107
"SD241782",-120.6667,36.5839,331,1971,8,0,16.1,26,35.9,197108
"SD241782",-120.6667,36.5839,331,1971,9,0.66,12.9,22.5,32.1,197109
"SD241782",-120.6667,36.5839,331,1971,10,5.86,7.2,15.9,24.6,197110
"SD241782",-120.6667,36.5839,331,1971,11,15.04,2.9,10.6,18.2,197111
"SD241782",-120.6667,36.5839,331,1971,12,68.87,0.3,6.2,12.2,197112
"SD241782",-120.6667,36.5839,331,1972,1,5.06,-1.3,4.9,11.1,197201
"SD241782",-120.6667,36.5839,331,1972,2,13,3.1,10.2,17.4,197202
"SD241782",-120.6667,36.5839,331,1972,3,0,6.5,14.7,22.9,197203
"SD241782",-120.6667,36.5839,331,1972,4,7.28,6.5,14.7,23,197204
"SD241782",-120.6667,36.5839,331,1972,5,0.15,10.3,19.7,29.1,197205
"SD241782",-120.6667,36.5839,331,1972,6,0,14,23.5,33,197206
"SD241782",-120.6667,36.5839,331,1972,7,0,15.4,25.8,36.2,197207
"SD241782",-120.6667,36.5839,331,1972,8,0,15,24.7,34.5,197208
"SD241782",-120.6667,36.5839,331,1972,9,2.86,12.4,21.3,30.1,197209
"SD241782",-120.6667,36.5839,331,1972,10,18.43,9.9,16.9,23.9,197210
"SD241782",-120.6667,36.5839,331,1972,11,96.6,4.9,9.9,14.9,197211
"SD241782",-120.6667,36.5839,331,1972,12,31.52,0.3,5.5,10.7,197212
"SD241782",-120.6667,36.5839,331,1973,1,61.67,1.3,7.1,12.8,197301
"SD241782",-120.6667,36.5839,331,1973,2,126.87,4.6,9.9,15.2,197302
"SD241782",-120.6667,36.5839,331,1973,3,60.53,3.5,9.3,15,197303
"SD241782",-120.6667,36.5839,331,1973,4,2.98,6.4,14.6,22.9,197304
"SD241782",-120.6667,36.5839,331,1973,5,0,11.7,20.9,30.1,197305
"SD241782",-120.6667,36.5839,331,1973,6,0,14.8,24.4,33.9,197306
"SD241782",-120.6667,36.5839,331,1973,7,0,14.7,25,35.4,197307
"SD241782",-120.6667,36.5839,331,1973,8,0,14.7,24.6,34.6,197308
"SD241782",-120.6667,36.5839,331,1973,9,0,11.6,21.1,30.6,197309
"SD241782",-120.6667,36.5839,331,1973,10,31.39,8.4,16.7,25,197310
"SD241782",-120.6667,36.5839,331,1973,11,34.49,4.9,11.1,17.4,197311
"SD241782",-120.6667,36.5839,331,1973,12,56.79,2.7,8.2,13.8,197312
"SD241782",-120.6667,36.5839,331,1974,1,49.38,2.4,7.9,13.5,197401
"SD241782",-120.6667,36.5839,331,1974,2,10.16,1,8.6,16.2,197402
"SD241782",-120.6667,36.5839,331,1974,3,60.43,5.1,11.5,17.9,197403
"SD241782",-120.6667,36.5839,331,1974,4,16.16,5.5,13.5,21.5,197404
"SD241782",-120.6667,36.5839,331,1974,5,0,9.3,18.8,28.2,197405
"SD241782",-120.6667,36.5839,331,1974,6,0,13.3,23.1,33,197406
"SD241782",-120.6667,36.5839,331,1974,7,5.23,15.5,25.1,34.7,197407
"SD241782",-120.6667,36.5839,331,1974,8,0,15,24.9,34.7,197408
"SD241782",-120.6667,36.5839,331,1974,9,0,14.1,24.1,34.1,197409
"SD241782",-120.6667,36.5839,331,1974,10,25.28,10.6,18.4,26.2,197410
"SD241782",-120.6667,36.5839,331,1974,11,11.05,3.9,11.2,18.4,197411
"SD241782",-120.6667,36.5839,331,1974,12,54.54,1.5,7.1,12.8,197412
"SD241782",-120.6667,36.5839,331,1975,1,3.12,-0.1,7,14.1,197501
"SD241782",-120.6667,36.5839,331,1975,2,97.62,3.2,8.9,14.7,197502
"SD241782",-120.6667,36.5839,331,1975,3,66.51,3.9,10.2,16.4,197503
"SD241782",-120.6667,36.5839,331,1975,4,23.22,3.6,11,18.4,197504
"SD241782",-120.6667,36.5839,331,1975,5,0,9.3,18.7,28.1,197505
"SD241782",-120.6667,36.5839,331,1975,6,0,12,22.2,32.4,197506
"SD241782",-120.6667,36.5839,331,1975,7,0,13.5,23.9,34.3,197507
"SD241782",-120.6667,36.5839,331,1975,8,7.56,13.3,23.4,33.4,197508
"SD241782",-120.6667,36.5839,331,1975,9,1.92,13.8,23.5,33.3,197509
"SD241782",-120.6667,36.5839,331,1975,10,26.85,7.6,16.1,24.6,197510
"SD241782",-120.6667,36.5839,331,1975,11,4.7,2.5,10.3,18.2,197511
"SD241782",-120.6667,36.5839,331,1975,12,4.22,0,7.9,15.7,197512
"SD241782",-120.6667,36.5839,331,1976,1,0.32,-1.6,7.5,16.6,197601
"SD241782",-120.6667,36.5839,331,1976,2,67.11,3,9.8,16.7,197602
"SD241782",-120.6667,36.5839,331,1976,3,16.27,3,10.7,18.5,197603
"SD241782",-120.6667,36.5839,331,1976,4,30.71,5.1,12.7,20.2,197604
"SD241782",-120.6667,36.5839,331,1976,5,0,10,19.8,29.6,197605
"SD241782",-120.6667,36.5839,331,1976,6,1.55,11.7,21.9,32.1,197606
"SD241782",-120.6667,36.5839,331,1976,7,0,14.8,24.9,35,197607
"SD241782",-120.6667,36.5839,331,1976,8,20.26,13.1,21.5,30,197608
"SD241782",-120.6667,36.5839,331,1976,9,55.66,13.7,21.8,29.9,197609
"SD241782",-120.6667,36.5839,331,1976,10,15.69,10,18.1,26.1,197610
"SD241782",-120.6667,36.5839,331,1976,11,22,6,12.9,19.9,197611
"SD241782",-120.6667,36.5839,331,1976,12,16.01,-1.5,7.9,17.2,197612
"SD241782",-120.6667,36.5839,331,1977,1,21.36,1.2,6.4,11.7,197701
"SD241782",-120.6667,36.5839,331,1977,2,9.29,2.4,10.5,18.5,197702
"SD241782",-120.6667,36.5839,331,1977,3,18.41,1.4,9.4,17.4,197703
"SD241782",-120.6667,36.5839,331,1977,4,0,6.1,16,25.9,197704
"SD241782",-120.6667,36.5839,331,1977,5,26.57,7.6,15.1,22.6,197705
"SD241782",-120.6667,36.5839,331,1977,6,2.6,13.9,23.9,34,197706
"SD241782",-120.6667,36.5839,331,1977,7,0,13.9,24.8,35.6,197707
"SD241782",-120.6667,36.5839,331,1977,8,0,15.4,24.9,34.5,197708
"SD241782",-120.6667,36.5839,331,1977,9,0,12.5,21.8,31,197709
"SD241782",-120.6667,36.5839,331,1977,10,1.65,9.6,18.5,27.3,197710
"SD241782",-120.6667,36.5839,331,1977,11,9.89,4.8,12.6,20.4,197711
"SD241782",-120.6667,36.5839,331,1977,12,84.02,4.7,10.6,16.5,197712
"SD241782",-120.6667,36.5839,331,1978,1,80.08,5.2,10,14.9,197801
"SD241782",-120.6667,36.5839,331,1978,2,121.95,4.8,10,15.1,197802
"SD241782",-120.6667,36.5839,331,1978,3,105.1,8,13.6,19.3,197803
"SD241782",-120.6667,36.5839,331,1978,4,71.23,6.5,13.1,19.7,197804
"SD241782",-120.6667,36.5839,331,1978,5,0,9.6,18.8,28.1,197805
"SD241782",-120.6667,36.5839,331,1978,6,0,12.1,22.2,32.4,197806
"SD241782",-120.6667,36.5839,331,1978,7,0,14.4,24.9,35.5,197807
"SD241782",-120.6667,36.5839,331,1978,8,0,14.6,24.6,34.6,197808
"SD241782",-120.6667,36.5839,331,1978,9,16.85,11.7,20.7,29.6,197809
"SD241782",-120.6667,36.5839,331,1978,10,0,9.9,19.7,29.4,197810
"SD241782",-120.6667,36.5839,331,1978,11,42.44,2.8,10.2,17.5,197811
"SD241782",-120.6667,36.5839,331,1978,12,18.45,-0.7,5.6,12,197812
"SD241782",-120.6667,36.5839,331,1979,1,63.56,1.3,7.1,12.9,197901
"SD241782",-120.6667,36.5839,331,1979,2,86.13,2.3,8.5,14.7,197902
"SD241782",-120.6667,36.5839,331,1979,3,53.4,5.9,11.8,17.8,197903
"SD241782",-120.6667,36.5839,331,1979,4,5.81,5.6,14.1,22.6,197904
"SD241782",-120.6667,36.5839,331,1979,5,1.17,10.1,19.7,29.2,197905
"SD241782",-120.6667,36.5839,331,1979,6,0,12.7,23.4,34.1,197906
"SD241782",-120.6667,36.5839,331,1979,7,1.08,14.6,24.7,34.8,197907
"SD241782",-120.6667,36.5839,331,1979,8,0,13.7,23.4,33.1,197908
"SD241782",-120.6667,36.5839,331,1979,9,0,13.4,23.5,33.6,197909
"SD241782",-120.6667,36.5839,331,1979,10,16.42,10.7,18.5,26.3,197910
"SD241782",-120.6667,36.5839,331,1979,11,25.29,4,11.4,18.7,197911
"SD241782",-120.6667,36.5839,331,1979,12,36.28,1.1,9.1,17,197912
"SD241782",-120.6667,36.5839,331,1980,1,63.25,4.6,9.7,14.7,198001
"SD241782",-120.6667,36.5839,331,1980,2,112.06,4.9,11,17,198002
"SD241782",-120.6667,36.5839,331,1980,3,37.06,3.5,10.4,17.3,198003
"SD241782",-120.6667,36.5839,331,1980,4,13.29,6.2,14.3,22.3,198004
"SD241782",-120.6667,36.5839,331,1980,5,4.09,8.6,17,25.3,198005
"SD241782",-120.6667,36.5839,331,1980,6,0,10.4,20.1,29.7,198006
"SD241782",-120.6667,36.5839,331,1980,7,2.33,15.1,25,34.9,198007
"SD241782",-120.6667,36.5839,331,1980,8,0,13.6,23.7,33.8,198008
"SD241782",-120.6667,36.5839,331,1980,9,0,11.7,21.5,31.4,198009
"SD241782",-120.6667,36.5839,331,1980,10,1.51,9,18.7,28.5,198010
"SD241782",-120.6667,36.5839,331,1980,11,2.28,3.1,12.3,21.5,198011
"SD241782",-120.6667,36.5839,331,1980,12,15.98,1.5,8.8,16,198012
"UC1529013",-120.1137,35.5657,580,1966,1,27.77,0.4,6.8,13.1,196601
"UC1529013",-120.1137,35.5657,580,1966,2,17.54,1,7.2,13.4,196602
"UC1529013",-120.1137,35.5657,580,1966,3,1.55,4,11.7,19.3,196603
"UC1529013",-120.1137,35.5657,580,1966,4,0.27,6.6,15.9,25.2,196604
"UC1529013",-120.1137,35.5657,580,1966,5,0,9.3,18.7,28.1,196605
"UC1529013",-120.1137,35.5657,580,1966,6,1.43,11.6,21.5,31.4,196606
"UC1529013",-120.1137,35.5657,580,1966,7,3.58,13,23.6,34.2,196607
"UC1529013",-120.1137,35.5657,580,1966,8,0,16,26.3,36.7,196608
"UC1529013",-120.1137,35.5657,580,1966,9,11.49,10.9,20.8,30.6,196609
"UC1529013",-120.1137,35.5657,580,1966,10,0,10,18.3,26.6,196610
"UC1529013",-120.1137,35.5657,580,1966,11,43.29,5.8,12,18.1,196611
"UC1529013",-120.1137,35.5657,580,1966,12,91.93,2.5,8.1,13.6,196612
"UC1529013",-120.1137,35.5657,580,1967,1,55.32,1.8,8.3,14.8,196701
"UC1529013",-120.1137,35.5657,580,1967,2,9.11,2.2,9.2,16.1,196702
"UC1529013",-120.1137,35.5657,580,1967,3,58.52,3.8,10,16.2,196703
"UC1529013",-120.1137,35.5657,580,1967,4,99.72,1.6,7.7,13.7,196704
"UC1529013",-120.1137,35.5657,580,1967,5,4.27,8.1,17.2,26.3,196705
