specimen_number	taxon_name	collector	coll_number_prefix	coll_number	coll_number_suffix	collection_date	late_collection_date	verbatim_date	county	elevation	locality	latitude	longitude	datum	source	error_distance	units	citation
CAS-BOT-BC38207	Caulanthus anceps	Alice Eastwood; John Thomas Howell		2003		1935-03-25	1935-03-25	"Mar. 25, 1935"	San Luis Obispo		Cholame.	35.724	-120.296	Terrain Nav. v. 8.7 (copied from SBBG83199)	NAD27	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38211	Caulanthus anceps	David D. Keck; J. Clausen		3082		1935-04-09	1935-04-09	09-Apr-35	San Luis Obispo	457 m	Cholame.	35.724	-120.296	Terrain Nav. v. 8.7 (copied from SBBG83199)	NAD27	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38213	Caulanthus anceps	Gertrude Sinsheimer	s.n. 			1927-04-12	1927-04-12	12-Apr-27	San Luis Obispo		Cholame.	35.724	-120.296	Terrain Nav. v. 8.7 (copied from SBBG83199)	NAD27	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38214	Caulanthus anceps	Gertrude Sinsheimer	s.n. 			1932-03-01	1932-03-01	Mar-32	San Luis Obispo		Cholame.	35.724	-120.296	Terrain Nav. v. 8.7 (copied from SBBG83199)	NAD27	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38226	Caulanthus anceps	David D. Keck; J. Clausen		3082		1935-04-09	1935-04-09	09-Apr-35	San Luis Obispo	457 m	Cholame.	35.724	-120.296	Terrain Nav. v. 8.7 (copied from SBBG83199)	NAD27	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM148042	Caulanthus anceps	Gertrude Sinsheimer	s.n.			1927-04-12	1927-04-12	1927-04-12	San Luis Obispo		Cholame.	35.724	-120.296	NAD27	Terrain Nav. v. 8.7 (copied from SBBG83199)	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM220948	Caulanthus anceps	"D. D. Keck, J. Clausen"		3081		1935-04-09	1935-04-09	1935-04-09	San Luis Obispo	457m	Cholame	35.724	-120.296	NAD27	Terrain Nav. v. 8.7 (copied from SBBG83199)	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM220949	Caulanthus anceps	"D. D. Keck, Jens Clausen"		3082		1935-04-09	1935-04-09	1935-04-09	San Luis Obispo	457m	Cholame	35.724	-120.296	NAD27	Terrain Nav. v. 8.7 (copied from SBBG83199)	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM280708	Caulanthus anceps	"Henry J. Ramsey, Henry J. Ramsey"	s.n.			1940-04-20	1940-04-20	1940-04-20	San Luis Obispo		Cholame	35.724	-120.296	NAD27	Terrain Nav. v. 8.7 (copied from SBBG83199)	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG105135	Caulanthus anceps	C. F. Smith		12572		1994-06-06	1994-06-06	06-Jun-94	Ventura		"first grade on Mutau Rd, 1.1 mi S of turnoff to Lockwood Valley"	34.703	-119.122		MyTopo	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG12242	Caulanthus anceps	E. R. Blakley		3458		1960-05-20	1960-05-20	20-May-60	Santa Barbara	1554 m	Santa Barbara Potrero	34.774	-119.642		MyTopo	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG14735	Caulanthus anceps	E. C. Twisselmann		6730		1962-03-28	1962-03-28	28-Mar-62	San Luis Obispo		"Cottonwood Pass, ca. 3.3 mi E of Cholame"	35.78	-120.209		MyTopo	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG14744	Caulanthus anceps	E. C. Twisselmann		6707		1962-03-18	1962-03-18	18-Mar-62	San Luis Obispo	655 m	summit of Palo Prieto Cyn	35.6636	-120.2275		MyTopo	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG16948	Caulanthus anceps	D. Myrick		242		1961-05-12	1961-05-12	12-May-61	Ventura	1524 m	Thorn Meadows Rd from Lockwood Valley	34.63	-119.113		MyTopo	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG18146	Caulanthus anceps	C. B. Hardham		8980		1962-04-14	1962-04-14	14-Apr-62	San Luis Obispo		"Shell Crk S of Camatta Rd, E of Creston"	35.4585	-120.3335		MyTopo	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG22885	Caulanthus anceps	E. R. Chandler		2233		1965-05-14	1965-05-14	14-May-65	Ventura	975 m	"Ballinger Cyn, ca. 3.4 mi E of Hwy 33"	34.883	-119.446		MyTopo	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG45157	Caulanthus anceps	K. K. Muller		1003		1960-05-18	1960-05-18	18-May-60	Santa Barbara	1584 m	Santa Barbara Potrero	34.774	-119.642		MyTopo	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG87648	Caulanthus anceps	C. F. Smith		2697		1950-04-30	1950-04-30	30-Apr-50	San Luis Obispo		"Bitterwater Crk area, 3 mi SE of Yeguas Mtn"	35.458	-120.011		MyTopo	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG99096	Caulanthus anceps	C. F. Smith		5420		1957-05-22	1957-05-22	22-May-57	Santa Barbara		Santa Barbara Potrero	34.774	-119.642		MyTopo	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG99097	Caulanthus anceps	C. F. Smith		7041		1962-06-15	1962-06-15	15-Jun-62	Santa Barbara		Santa Barbara Potrero	34.774	-119.642		MyTopo	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC577223	Caulanthus anceps	Alice Eastwood and John Thomas Howell		2003		1935-03-25	1935-03-25	Mar 25 1935	San Luis Obispo		Cholame	35.724	-120.296	NAD27	Terrain Nav. v. 8.7 (copied from SBBG83199)	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1127020	Caulanthus anceps	P. L. Johannsen		1027		1937-04-10	1937-04-10	Apr 10 1937	Santa Barbara	609 m	3.75 mi wnw Whiterock; McKittrick Quad.	35.019086	-119.89437	not recorded	Geolocate	1150	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG2598	Caulanthus anceps	H. and M. Dearing		431		1937-05-26	1937-05-26	26-May-37	Santa Barbara		Salisbury Potrero	34.822	-119.699		MyTopo	1500	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG2599	Caulanthus anceps	H. and M. Dearing		503		1937-05-26	1937-05-26	26-May-37	Santa Barbara		Salisbury Potrero	34.822	-119.699		MyTopo	1500	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38230	Caulanthus anceps	R. F. Hoover		8074		1952-04-08	1952-04-08	08-Apr-52	San Luis Obispo		La Panza district.	35.379759	-120.285566	GEOLocate	WGS84	3000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1296268	Caulanthus anceps	R. F. Hoover		8074		1952-04-08	1952-04-08	Apr 8 1952	San Luis Obispo		La Panza district La Panza	35.379759	-120.285566	WGS84	GEOLocate	3000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1296271	Caulanthus anceps	R. F. Hoover		7774		1950-03-31	1950-03-31	Mar 31 1950	San Luis Obispo		La Panza district La Panza	35.379759	-120.285566	WGS84	GEOLocate	3000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1127025	Caulanthus anceps	P. L. Johannsen		1119		1937-05-11	1937-05-11	May 11 1937	San Luis Obispo	762 m	3 mi n Walnut Springs; McKittrick Quad.	35.448778	-119.986968	not recorded	Geolocate	10340	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCR84372	Caulanthus anceps	Walter Wisura		4712		1992-04-25	1992-04-25	1992-Apr-25	Ventura	1027 m	"Mt. Pinos Region, Hwy 33, 4.1 mi north of turnoff to Lockwood Valley Rd."	34.73431	-119.39631	not recorded	GeoReferenceCA	1000	m	Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCR98782	Caulanthus anceps	"Steve Boyd, A. C. Sanders, R. T. Hawke, S. Hawke, S. Hobbs, P. Hobbs"		9563		1997-04-20	1997-04-20	1997-Apr-20	Kern	1220 m	"San Emigdio Range, Pleito Hills, San Emigdio Ranch, ridge on W side of Pleito Canyon, c. 4.5 air mi due north of Antimony Peak"	34.94353	-119.11153	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38187	Caulanthus anceps	Steve Boyd; Andrew Charles Sanders; R. T. Hawke; Shaun Hawke; Susan Hobbs; Paul Hobbs		9563		1997-04-20	1997-04-20	20-Apr-97	Kern	1097 m	"San Emigdio Range. Pleito Hills Region. San Emigdio Ranch, ridge of west side of Pleito Canyon."	34.943333	-119.111389	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38199	Caulanthus anceps	John H. Thomas		7552		1959-03-19	1959-03-19	19-Mar-59	Monterey	304 m	0.4 mile south of the Monterey-San Benito County line along Lonoak Road. About 13 miles northeast of King City.	36.283333	-120.933333	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38201	Caulanthus anceps	Ira L. Wiggins; Roxana S. Ferris		9388		1940-04-28	1940-04-28	28-Apr-40	San Benito		"1 mile from Peralta School, 14 miles from Idria."	36.513009	-120.831421	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38202	Caulanthus anceps	Ira L. Wiggins; Roxana S. Ferris		9388		1940-04-28	1940-04-28	28-Apr-40	San Benito		"1 mile from Peralta School, 14 miles from Idria."	36.513009	-120.831421	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC434964	Caulanthus anceps	A. C. Sanders		32223		2006-04-28	2006-04-28	28-Apr-06	Los Angeles	960 m	"Transverse Range; Liebre Mtns. Region: 1/2 mi. NW of La Liebre Ranch on the south side of Hwy 138, west of the mouth of Tentrock Canyon."	34.770833	-118.680833	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC541448	Caulanthus anceps	D. H. Wilken; E. Painter		16052		2003-04-24	2003-04-24	"Apr. 24, 2003"	Ventura	1030 m	"Ballinger Canyon, ca 1.5 linear mi E of Ballinger Campground"	34.88193	-119.42781	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CDA15627	Caulanthus anceps	"G. F. Hrusa, Jeff Hart"		10713		1993-04-06	1993-04-06	06-Apr-93	San Luis Obispo	609 m	Carrizo Plain. S end of Soda Lake on E side.	35.2	-119.9	not recorded	DMS conversion by CCH loading script			Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CDA16839	Caulanthus anceps	"G. F. Hrusa, L. Saslaw"		15776		2001-04-12	2001-04-12	12-Apr-01	San Luis Obispo		"Carrizo Plain; Wells Ranch Rd., +- 1 mi. W of Soda Lake Rd."	35.083333	-119.716667	not recorded	DMS conversion by CCH loading script			Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CDA30496	Caulanthus anceps	G. F. Hrusa		17481		2008-06-03	2008-06-03	03-Jun-08	Santa Barbara	1569 m	Sierra Madre Mountains; Salisbury Ridge betw. Salisbury Potrero and Pine Corral Potrero.	34.823889	-119.714722	not recorded	DMS conversion by CCH loading script			Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS100507	Caulanthus anceps	Dean W. Taylor		14905		1995-05-18	1995-05-18	May 18 1995	Fresno	320 m	Tumey Hills; along Tumey Hills Access Road ca. 3.5 miles S of entry gate	36.583332	-120.666664	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS103743	Caulanthus anceps	D. H. Wilken with E. Painter		16052		2003-04-24	2003-04-24	Apr 24 2003	Ventura	1030 m	"Ballinger Cyn, ca. 1.5 linear mi E of Ballinger Cmpgrd"	34.88193	-119.42781	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
JEPS126251	Caulanthus anceps	"Heath Bartosh with Maynard Moe, Neal Kramer and Mike White"		755		2013-04-20	2013-04-20	20-Apr-13	Kern	1022 m	Tejon Ranch; north side of Antelope Valley along Contour Road north of the L. A. County line and west of the aqueduct.	34.8225	-118.7349	not recorded	UTM conversion			Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI62188	Caulanthus anceps	"G. F. Hrusa, L. Saslaw"		15776		2001-04-12	2001-04-12	12-Apr-01	San Luis Obispo	660 m	"Carrizo Plain Natl Monument. Wells Ranch Rd, +/- 1 mi W of Soda Lake Rd. Quad Weels Ranch 7.5"	35.083333	-119.716667	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI64935	Caulanthus anceps	Greg Wilvert		26		2005-03-24	2005-03-24	24-Mar-05	San Luis Obispo	919 m	SE half of the Caliente Range. Approx 2 km N of Wells Cyn	35.031667	-119.658056	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI81111	Caulanthus anceps	"Kyle R. Weichert, Jason Dart"		30		2015-03-05	2015-03-05	3/5/2015	Monterey	519 m	Turkey Flats.	35.83785	-120.27985					Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
OBI82535	Caulanthus anceps	"David J. Keil, with Lynne Dee Althouse and Shannon Henke"		33483		2016-02-26	2016-02-26	26-Feb-16	San Luis Obispo	630 m	Southeast of Cholame in southern Cholame Valley along San Andreas Fault zone	35.680209	-120.235092	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
POM213027	Caulanthus anceps	P. A. Munz		13624		1935-04-01	1935-04-01	1935-04-01	Santa Barbara		"Cuyama Valley, Ojai road, 3 miles south of Santa Maria Highway."	34.89	-119.501667	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA0029044	Caulanthus anceps	Greg Wilvert		48		2005-03-26	2005-03-26	2005-03-26	San Luis Obispo	819m	Approx. 3.2km N of Wells Canyon on the N edge of the Caliente Range.	35.041389	-119.658889	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA127077	Caulanthus anceps	John H. Thomas		7543		1959-03-19	1959-03-19	1959-03-19	Monterey	305m	"0.4 miles south of the Monterey-San Benito Co. line along Lanoak Rd., about 13 miles northeast of King City."	36.283333	-120.933333	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA13045	Caulanthus anceps	C. B. Wolf		6451		1935-04-17	1935-04-17	1935-04-17	Kern	488m	"Diablo Range. South slope hill, Cottonwood Canyon, 0.3 miles east of San Luis Obispo County line."	35.777722	-120.18825	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA27606	Caulanthus anceps	"I. L. Wiggins, Roxana S. Ferris"		9388		1940-04-28	1940-04-28	1940-04-28	San Benito		"1 mile from Peralta School, 14 miles from Idria"	36.513009	-120.831421	WGS84	Google Earth			Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA599543	Caulanthus anceps	"Steve Boyd, A. C. Sanders, R. T. Hawke, Shaun Hawke, Susan Hobbs, Paul Hobbs"		9563		1997-04-20	1997-04-20	1997-04-20	Kern	1098m	"San Emigdio Range: Pleito Hills region, San Emigdio Ranch, ridge on west side of Pleito Canyon, approximately 4.5 air miles due north of Antimony Peak."	34.943528	-119.111528	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA614188	Caulanthus anceps	"A. C. Sanders, P. Mackay, T. C. Thomas"		20409		1997-04-12	1997-04-12	1997-04-12	Kern	1220m	"San Emigdio Ranch, Pleito Ridge, w of Pleito Creek along a dirt road, 4.5 miles N of Antimony Peak."	34.95	-119.108333	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA695546	Caulanthus anceps	D. W. Taylor		14784		1995-04-06	1995-04-06	1995-04-06	San Luis Obispo	351m	"Cholame Valley ( ca. 1 mile E of Cholame), Davis Road 0.45 mile S of jct of Hwy 41, 50 meters N of a lone Quercus lobata"	35.729167	-120.268889	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
RSA756110	Caulanthus anceps	"David J. Keil, Kathleen Keil"		29360		2001-04-20	2001-04-20	2001-04-20	San Luis Obispo	671m	Bitterwater Canyon. Along Bitterwater Road about 10 miles north of junction with Highway 58.	35.502056	-120.078472	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
SBBG70226	Caulanthus anceps	W. B. Holt				1935-03-25	1935-03-25	25-Mar-35	Santa Barbara		upper Cuyama Valley	34.87	-119.5		MyTopo			Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC1736551	Caulanthus anceps	Dean W. Taylor		11664		1991-05-07	1991-05-07	May 7 1991	San Benito	908 m	"Griswold Hills,"	36.50028	-120.73333	not recorded				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UC765137	Caulanthus anceps	R. F. Hoover		414		1935-03-29	1935-03-29	Mar 29 1935	Fresno		Little Panoche Creek flood-plain Little Panoche Creek	36.8325	-120.67361	not recorded	Biogeomancer			Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCD164087	Caulanthus anceps	"N. Ivalu Cacho, Sharon Y. Strauss, Bryan T. Drew"		49	-	2010-04-01	2010-04-01	01-Apr-10	San Luis Obispo	579 m	San Luis Obispo County: Carrizo Plain: along SE edge of Soda Lake.	35.214167	-119.855556	WGS84				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCD164116	Caulanthus anceps	"N. Ivalu Cacho, Sharon Y. Strauss"		56	-	2010-05-02	2010-05-02	02-May-10	Ventura	1096 m	"Ballinger Canyon: hills SE of campground, by flag and cross."	34.878333	-119.4325	WGS84				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCD164121	Caulanthus anceps	"N. Ivalu Cacho, Sharon Y. Strauss"		64		2010-05-02	2010-05-02	02-May-10	Ventura	1096 m	"Ballinger Canyon: hills SE of campground, by flag and cross."	34.878333	-119.4325	WGS84				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
UCD164216	Caulanthus anceps	"N. Ivalu Cacho, Sharon Y. Strauss"		295		2013-03-23	2013-03-23	23-Mar-13	Ventura	1091 m	"Ballinger Canyon: on S side of road, at top of mesa."	34.878056	-119.433889	WGS84				Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38190	Caulanthus anceps	John Thomas Howell		6000		1931-03-23	1931-03-23	"Mar. 23, 1931."	Monterey		"Poncho Rico Canyon, 6.6 miles east of Salinas Valley."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38191	Caulanthus anceps	John Thomas Howell		6001		1931-03-23	1931-03-23	"Mar. 23, 1931."	Monterey		"Poncho Rico Canyon, 6.6 miles east of Salinas Valley."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38192	Caulanthus anceps	John Thomas Howell		6002		1931-03-23	1931-03-23	"Mar. 23, 1931."	Monterey		"Poncho Rico Canyon, 6.6 miles east of Salinas Valley."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38193	Caulanthus anceps	John Thomas Howell		32111		1957-04-29	1957-04-29	"Apr. 29, 1957."	Monterey		1.3 miles west of Mustang summit.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38194	Caulanthus anceps	Ernest C. Twisselmann		2623		1956-04-04	1956-04-04	"April 4, 1956."	Monterey	426 m	Southeastern Monterey Canyon. Vineyard Canyon.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38195	Caulanthus anceps	Ernest C. Twisselmann		2623		1956-04-04	1956-04-04	"April 4, 1956."	Monterey	426 m	Southeastern Monterey Canyon. Vineyard Canyon.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38196	Caulanthus anceps	Mrs. H. C. Cantelow		3763		1937-03-28	1937-03-28	"Mar. 28, 1937"	Monterey		West side Mustang Grade near Fresno County line.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38197	Caulanthus anceps	Roxana S. Ferris		9147		1935-03-31	1935-03-31	31-Mar-35	Monterey		3 miles north of Estrella on the Parkfield Road.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38198	Caulanthus anceps	Beatrice F. Howitt		1515		1963-05-18	1963-05-18	18-May-63	Monterey		SE Monterey County. By side of Jeep Road among the hayfields on the hills of the Gus Wolf Ranch.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38203	Caulanthus anceps	Joseph Andorfer Ewan		9195		1935-03-31	1935-03-31	31 III 1935	San Benito	518 m	"Little Rabit Valley, 5 miles north of Bitterwater."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38215	Caulanthus anceps	D. E. Breedlove		2038		1962-03-29	1962-03-29	29-Mar-62	San Luis Obispo	487 m	"22.1 miles west of Simmler, La Panza Range."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38216	Caulanthus anceps	D. E. Breedlove		2079		1962-03-29	1962-03-29	29-Mar-62	San Luis Obispo	609 m	At the western edge of the Carrizo Plain about 9 miles south by southwest of Simmler.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38218	Caulanthus anceps	Ernest C. Twisselmann		11103		1965-06-30	1965-06-30	"June 30, 1965."	San Luis Obispo	655 m	Temblor Range and the Western San Joaquin Valley. Hills at the summit of Palo Prieta Canyon.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38219	Caulanthus anceps	Ethel Crum		1727		1935-04-13	1935-04-13	13-Apr-35	San Luis Obispo	914 m	"Nineteen miles north of Simmler, on Cholame road."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38220	Caulanthus anceps	Ira L. Wiggins		5789		1932-03-20	1932-03-20	20-Mar-32	San Luis Obispo		Hillsides in immediate vicinity of Cholame.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38221	Caulanthus anceps	Roxana S. Ferris		9031		1935-03-21	1935-03-21	21-Mar-35	San Luis Obispo		5 miles east of Cholame on the Wasco-Paso Roble Road.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38222	Caulanthus anceps	H. D. Ripley; R. C. Barneby		3245		1941-04-13	1941-04-13	13/IV ANNO 1941	San Luis Obispo	731 m	Near Simmler. (Carrizo Plains).							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38223	Caulanthus anceps	Clare B. Hardham		8980		1962-04-14	1962-04-14	4-14-62	San Luis Obispo		Shell Creek south of Cammatta Road-west of Creston.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38224	Caulanthus anceps	Mrs. H. C. Cantelow	s.n. 			1935-03-17	1935-03-17	17-Mar-35	San Luis Obispo		East of Paso Robles.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38225	Caulanthus anceps	David D. Keck		2171		1933-05-04	1933-05-04	04-May-33	San Luis Obispo		"Cholame, west side of town."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38234	Caulanthus anceps	Ernest C. Twisselmann		1740		1955-03-22	1955-03-22	"March 22, 1955."	San Luis Obispo	594 m	"Temblor Range and the Western San Joaquin Valley. Low hills on east shore of Soda Lake, Carissa Plains."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38235	Caulanthus anceps	Ernest C. Twisselmann		2566		1956-03-18	1956-03-18	"March 18, 1956."	San Luis Obispo	579 m	Temblor Range and the Western San Joaquin Valley. Gillis Canyon.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38236	Caulanthus anceps	Ernest C. Twisselmann		6707		1962-03-18	1962-03-18	"March 18, 1962."	San Luis Obispo	655 m	Temblor Range and the Western San Joaquin Valley. Hills at the summit of Palo Prieta Canyon.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38238	Caulanthus anceps	Ernest C. Twisselmann		10492		1965-03-23	1965-03-23	"March 23, 1965."	San Luis Obispo	670 m	Temblor Range and the Western San Joauin Valley. Pinole Hills at the head of Bitterwater Creek.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38239	Caulanthus anceps	Ernest C. Twisselmann		16408		1970-04-30	1970-04-30	"April 30, 1970."	Monterey	312 m	"Cholame Flats, 2 miles north of the SLO county line."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38240	Caulanthus anceps	Ernest C. Twisselmann		16408		1970-04-30	1970-04-30	"April 30, 1970."	Monterey	312 m	"Cholame Flats, 2 miles north of the SLO county line."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38241	Caulanthus anceps	D. E. Breedlove		1983		1962-03-24	1962-03-24	24-Mar-62	San Luis Obispo	441 m	2.8 miles northeast of U.S. 466 at Cholame on State 41.							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
CAS-BOT-BC38242	Caulanthus anceps	Roxana S. Ferris		9112		1935-03-29	1935-03-29	29-Mar-35	San Luis Obispo		"Western slopes above Soda Lake, Carriso Plain."							Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)
